fuzzer,domain,score
addition,www.bjutu.edu,0.04031613209158991
addition,www.bjtuu.edu,0.04031613209158991
addition,www.bjttu.edu,0.01775213730559999
addition,www.ubtj.edu,0.0
addition,www.bj9u.edu,0.0
addition,www.tbjtu.edu,0.01775213730559999
addition,www.qjtu.edu,0.0
addition,www.bujtu.edu,0.04031613209158991
addition,www.bjqu.edu,0.0
addition,www.bjtd.edu,0.0
addition,www.2jtu.edu,0.0
addition,www.pjtu.edu,0.0
addition,www.b-tu.edu,0.0
addition,www.tbuj.edu,0.0
addition,www.bjut.edu,0.0
addition,www.bjlu.edu,0.0
addition,www.3jtu.edu,0.0
addition,www.bj1u.edu,0.0
addition,www.vjtu.edu,0.0
addition,www.jubt.edu,0.0
addition,www.bctu.edu,0.0
addition,www.bmtu.edu,0.0
addition,www.5jtu.edu,0.0
addition,www.fjtu.edu,0.0
addition,www.bjmu.edu,0.0
addition,www.bj4u.edu,0.0
addition,www.bjtbu.edu,0.01775213730559999
addition,www.bjau.edu,0.0
addition,www.b5tu.edu,0.0
addition,www.bztu.edu,0.0
addition,www.btju.edu,0.0
addition,www.b3tu.edu,0.0
addition,www.bj2u.edu,0.0
addition,www.jtbu.edu,0.0
addition,www.b7tu.edu,0.0
addition,www.ujbt.edu,0.0
addition,www.7jtu.edu,0.0
addition,www.bjxu.edu,0.0
addition,www.jbut.edu,0.0
addition,www.rjtu.edu,0.0
addition,www.ljtu.edu,0.0
addition,www.bjou.edu,0.0
addition,www.utjb.edu,0.0
addition,www.jbjtu.edu,0.01775213730559999
addition,www.ubjtu.edu,0.04031613209158991
addition,www.bjsu.edu,0.0
addition,www.bj-u.edu,0.0
addition,www.xjtu.edu,0.0
addition,www.b8tu.edu,0.0
addition,www.bjzu.edu,0.0
addition,www.bjyu.edu,0.0
addition,www.kjtu.edu,0.0
addition,www.tujb.edu,0.0
addition,www.tbju.edu,0.0
addition,www.6jtu.edu,0.0
addition,www.butj.edu,0.0
addition,www.bbjtu.edu,0.01775213730559999
addition,www.9jtu.edu,0.0
addition,www.b0tu.edu,0.0
addition,www.bjiu.edu,0.0
addition,www.bj5u.edu,0.0
addition,www.0jtu.edu,0.0
addition,www.btuj.edu,0.0
addition,www.ojtu.edu,0.0
addition,www.bjtut.edu,0.01775213730559999
addition,www.bstu.edu,0.0
addition,www.bptu.edu,0.0
addition,www.bhtu.edu,0.0
addition,www.bjbtu.edu,0.01775213730559999
addition,www.bvtu.edu,0.0
addition,www.bjcu.edu,0.0
addition,www.gjtu.edu,0.0
addition,www.bqtu.edu,0.0
addition,www.bjtw.edu,0.10375937481971098
addition,www.bjtu.edu,0.0
addition,www.b9tu.edu,0.0
addition,www.bj8u.edu,0.0
addition,www.jbtu.edu,0.0
addition,www.tubj.edu,0.0
addition,www.b4tu.edu,0.0
addition,www.bltu.edu,0.0
addition,www.bxtu.edu,0.0
addition,www.bjjtu.edu,0.01775213730559999
addition,www.botu.edu,0.0
addition,www.bftu.edu,0.0
addition,www.bjtub.edu,0.01775213730559999
addition,www.sjtu.edu,0.0
addition,www.mjtu.edu,0.0
addition,www.hjtu.edu,0.0
addition,www.tjbu.edu,0.0
addition,www.utbj.edu,0.0
addition,www.tjub.edu,0.0
addition,www.bjnu.edu,0.0
addition,www.bjtju.edu,0.01775213730559999
addition,www.jutb.edu,0.0
addition,www.cjtu.edu,0.0
addition,www.bjgu.edu,0.0
addition,www.bjku.edu,0.0
addition,www.b1tu.edu,0.0
addition,www.ubjt.edu,0.0
addition,www.bgtu.edu,0.0
addition,www.ujtb.edu,0.0
addition,www.bjtuj.edu,0.01775213730559999
addition,www.bitu.edu,0.0
addition,www.jtub.edu,0.0
addition,www.b2tu.edu,0.0
addition,www.bjhu.edu,0.0
addition,www.bj7u.edu,0.0
addition,www.bytu.edu,0.0
addition,www.4jtu.edu,0.0
addition,www.bntu.edu,0.0
addition,www.ijtu.edu,0.0
addition,www.bj3u.edu,0.0
addition,www.bjte.edu,0.0
addition,www.yjtu.edu,0.0
addition,www.brtu.edu,0.0
addition,www.bktu.edu,0.0
addition,www.bjpu.edu,0.0
addition,www.bjfu.edu,0.0
addition,www.btjtu.edu,0.01775213730559999
addition,www.njtu.edu,0.0
addition,www.bj0u.edu,0.0
addition,www.1jtu.edu,0.0
addition,www.batu.edu,0.0
addition,www.bjvu.edu,0.0
addition,www.bujt.edu,0.0
addition,www.b6tu.edu,0.0
addition,www.bjru.edu,0.0
addition,www.zjtu.edu,0.0
addition,www.ajtu.edu,0.0
addition,www.8jtu.edu,0.0
addition,www.bj6u.edu,0.0
