fuzzer,domain,score,whois_expires,whois_updated,whois_created
tld-swap,scnr.co.uk,0.28787878787878785,2024-01-30 00:00:00,2023-05-24 00:00:00,2023-01-30 00:00:00
tld-swap,pcnr.co.uk,0.31818181818181823,2023-08-29 00:00:00,2022-08-29 00:00:00,2013-08-29 00:00:00
tld-swap,cnrl.co.uk,0.31818181818181823,2024-01-06 00:00:00,2023-03-09 00:00:00,2011-01-06 00:00:00
tld-swap,ctnr.CO.UK,0.31818181818181823,2023-03-21 00:00:00,,
tld-swap,clnr.co.uk,0.31818181818181823,2025-04-15 00:00:00,2023-03-16 00:00:00,2021-04-15 00:00:00
tld-swap,nr.co.uk,0.303030303030303,2023-09-14 00:00:00,2022-09-10 00:00:00,2011-09-14 00:00:00
tld-swap,ctnr.co.uk,0.31818181818181823,2023-03-21 00:00:00,2023-03-26 00:00:00,2022-03-21 00:00:00
tld-swap,cgr.com.pk,0.328125,2025-06-08 00:00:00,,2021-06-08 00:00:00
tld-swap,c9r.COM,0.33333333333333337,2024-02-18 10:48:11,2022-02-10 09:16:58,2000-02-18 10:48:11
tld-swap,c9r.com,0.33333333333333337,2024-02-18 10:48:11,2022-02-10 09:16:58,2000-02-18 10:48:11
tld-swap,bcnr.tech,0.33333333333333337,2023-08-12 23:59:59,2022-09-01 21:24:19,2019-08-12 16:05:12
