fuzzer,domain,score
step1,onintudios.gg,0.0
step1,o0istudios.gg,0.0
step1,oaistudios.gg,0.0
step1,owistudios.gg,0.0
step1,onisgudios.gg,0.0
step1,okistudios.gg,0.0
step1,onis6udios.gg,0.0
step1,o7istudios.gg,0.0
step1,onisvudios.gg,0.0
step1,oxistudios.gg,0.0
step1,onsitudios.gg,0.0
step1,omistudios.gg,0.0
step1,onistudius.gg,0.0
step1,ofistudios.gg,0.0
step1,onisfudios.gg,0.0
step1,oyistudios.gg,0.0
step1,o6istudios.gg,0.0
step1,onisaudios.gg,0.0
step1,onis3udios.gg,0.0
step1,onistudois.gg,0.0
step1,o5istudios.gg,0.0
step1,onisyudios.gg,0.0
step1,ojistudios.gg,0.0
step1,opistudios.gg,0.0
step1,oqistudios.gg,0.0
step1,onis7udios.gg,0.0
step1,oniseudios.gg,0.0
step1,onnstudios.gg,0.0
step1,onisludios.gg,0.0
step1,o8istudios.gg,0.0
step1,onis4udios.gg,0.0
step1,o3istudios.gg,0.0
step1,onis2udios.gg,0.0
step1,onistuidos.gg,0.0
step1,onisrudios.gg,0.0
step1,ocistudios.gg,0.0
step1,noistudios.gg,0.0
step1,onistduios.gg,0.0
step1,oniswudios.gg,0.0
step1,onitsudios.gg,0.0
step1,onis9udios.gg,0.0
step1,dnistudios.gg,0.0
step1,o-istudios.gg,0.0
step1,onisbudios.gg,0.0
step1,ozistudios.gg,0.0
step1,onistudtos.gg,0.0
step1,o1istudios.gg,0.0
step1,onistudnos.gg,0.0
step1,oniscudios.gg,0.0
step1,o2istudios.gg,0.0
step1,o4istudios.gg,0.0
step1,onis5udios.gg,0.0
step1,onistudids.gg,0.0
step1,oniszudios.gg,0.0
step1,ontstudios.gg,0.0
step1,ovistudios.gg,0.0
step1,oeistudios.gg,0.0
step1,oinstudios.gg,0.0
step1,nnistudios.gg,0.0
step1,onistudits.gg,0.0
step1,onismudios.gg,0.0
step1,onis1udios.gg,0.0
step1,onisqudios.gg,0.0
step1,onist5dios.gg,0.0
step1,oniskudios.gg,0.0
step1,onisjudios.gg,0.0
step1,onistu9ios.gg,0.0
step1,olistudios.gg,0.0
step1,onisxudios.gg,0.0
step1,obistudios.gg,0.0
step1,onis8udios.gg,0.0
step1,unistudios.gg,0.0
step1,onittudios.gg,0.0
step1,o9istudios.gg,0.0
step1,onistudion.gg,0.0
step1,onispudios.gg,0.0
step1,onishudios.gg,0.0
step1,onistudiso.gg,0.0
step1,ogistudios.gg,0.0
step1,onis0udios.gg,0.0
step1,onistudiot.gg,0.0
step1,tnistudios.gg,0.0
step1,onis-udios.gg,0.0
step1,ohistudios.gg,0.0
step1,onistudins.gg,0.0
step1,onisutdios.gg,0.0
step1,onistudios.gg,0.0
step1,oristudios.gg,0.0
tld-swap,onitsudios.ee,0.0
tld-swap,onistudtos.ee,0.0
tld-swap,oniskudios.ee,0.0
tld-swap,oniutudios.ee,0.0
tld-swap,onistuqios.ee,0.0
tld-swap,olistudios.ee,0.0
tld-swap,onisturios.ee,0.0
tld-swap,onistudius.ee,0.0
tld-swap,onistcdios.ee,0.0
tld-swap,okistudios.ee,0.0
tld-swap,onistu4ios.ee,0.0
tld-swap,ojistudios.ee,0.0
tld-swap,onistujios.ee,0.0
tld-swap,onistu0ios.ee,0.0
tld-swap,onistuvios.ee,0.0
tld-swap,onisfudios.ee,0.0
tld-swap,onist8dios.ee,0.0
tld-swap,onis0udios.ee,0.0
tld-swap,onis5udios.ee,0.0
tld-swap,dnistudios.ee,0.0
tld-swap,onisthdios.ee,0.0
tld-swap,onidtudios.ee,0.0
tld-swap,o1istudios.ee,0.0
tld-swap,onishudios.ee,0.0
tld-swap,onis-udios.ee,0.0
tld-swap,onisqudios.ee,0.0
tld-swap,onistvdios.ee,0.0
tld-swap,onistucios.ee,0.0
tld-swap,onis9udios.ee,0.0
tld-swap,onistuddos.ee,0.0
